pin ,rotation speed,torque,Power,volumetric flow rate (DN 40),p1,p2,p3,p4,p5,p6,room temp
bara,U/min,Nm,W,Nmｳ/h,bar,bar,bar,bar,bar,bar,ｰC
,,,,,,,,,,,
9.98,2603.957323,-4.039088,-1101.380708,52.71383757,0.979897238,0.978064048,0.974876905,0.979577,0.979086667,0.979916333,21.88814686
,,,,,,,,,,,
10.96,3279.551073,-4.141775,-1335.680967,63.838843,0.980316,0.978997,0.975777,0.980337,0.979907,0.980713,21.82356
10.96,3280.661394,-4.165566,-1343.837048,56.893046,0.98108,0.97891,0.975646,0.980442,0.980061,0.980698,21.827945
10.96,3280.637361,-4.140734,-1335.815693,58.456054,0.980944,0.978907,0.975682,0.98043,0.980028,0.980689,21.827194
10.96,3280.562859,-4.063753,-1310.949489,63.301379,0.980522,0.978896,0.975795,0.980391,0.979925,0.980661,21.824866
10.96,3280.192752,-4.094593,-1320.73652,63.132613,0.980582,0.978954,0.975794,0.98041,0.979938,0.98074,21.823785
10.96,3279.183369,-4.178703,-1347.428421,62.67234,0.980745,0.979111,0.97579,0.980461,0.979972,0.980955,21.820839
10.96,3278.981493,-4.169091,-1344.241182,60.883032,0.980614,0.97903,0.975816,0.980536,0.979907,0.98091,21.819452
10.96,3278.493625,-4.14586,-1336.538686,56.558869,0.980298,0.978836,0.975879,0.980717,0.979749,0.980801,21.816102
10.96,3279.233838,-4.149225,-1337.945431,59.458585,0.980276,0.97885,0.975742,0.980617,0.979776,0.980709,21.812624
10.96,3280.661394,-4.155713,-1340.658439,65.050894,0.980233,0.978878,0.975478,0.980424,0.979828,0.980531,21.805916
10.96,3280.392225,-4.171414,-1345.605106,62.084055,0.980306,0.978924,0.975669,0.980427,0.979941,0.980661,21.814571
10.96,3279.873114,-4.201693,-1355.145105,56.362294,0.980447,0.979013,0.976037,0.980433,0.980158,0.980913,21.831261
10.96,3279.488587,-4.242707,-1368.199579,58.571602,0.980469,0.979024,0.975941,0.980328,0.980097,0.980847,21.822202
10.96,3278.887765,-4.306791,-1388.597194,62.023644,0.980503,0.979041,0.97579,0.980163,0.98,0.980745,21.808048
10.96,3279.1329,-4.283641,-1381.242179,63.132133,0.980545,0.979012,0.975752,0.980219,0.980029,0.980683,21.821012
10.96,3279.478974,-4.250958,-1370.858629,64.69706,0.980605,0.978971,0.975697,0.980298,0.98007,0.980596,21.839314
10.96,3279.752949,-4.23726,-1366.562397,63.704118,0.980592,0.978915,0.975691,0.980304,0.980003,0.980618,21.849852
10.96,3280.070184,-4.221399,-1361.587814,62.554396,0.980577,0.97885,0.975683,0.980312,0.979925,0.980643,21.862053
10.96,3280.454711,-4.261452,-1374.679801,59.955775,0.980709,0.978825,0.975776,0.980516,0.979846,0.980699,21.84657
10.96,3280.858464,-4.303507,-1388.426387,57.227223,0.980848,0.978799,0.975874,0.980731,0.979763,0.980759,21.830314
10.96,3280.202365,-4.264816,-1375.653245,60.559882,0.980585,0.978935,0.975862,0.980495,0.97996,0.980831,21.823398
10.96,3279.577509,-4.227968,-1363.488347,63.733844,0.980335,0.979064,0.975851,0.98027,0.980149,0.980899,21.816812
10.96,3279.301131,-4.143217,-1336.038766,62.972956,0.980758,0.979124,0.975809,0.980401,0.979969,0.980865,21.82226
10.96,3279.084834,-4.07689,-1314.556485,62.377479,0.98109,0.979171,0.975776,0.980503,0.979828,0.980838,21.826524
10.96,3279.084834,-4.12303,-1329.434061,61.97474,0.981002,0.979119,0.975719,0.980506,0.979939,0.980871,21.816125
,,,,,,,,,,,
